OBJECTID;ID_LOCAL;X;Y;Xbis;Ybis;C20_NIV8;F7;ARRO;QUA;IRIS;NUM;LET;TYP_VOIE;LIB_VOIE;C20_SIT;C20_CODACT;C20_LIBACT;C20_SURF;C20_CC_ID;C20_NOM_CC;CODE_PROTECTION;TYPE_PROTECTION;CODE_ZTI;NOM_ZTI
6360;21810;649320.6409;6863957.2943;649320.6409;6863957.2943;3;null;8;30;751083006;166;null;RUE;FAUBOURG SAINT HONORE;R;CD103;Vente de meubles salon et chambre;1;0;null;1;PCA;6;Champs Elysées-Montaigne
6363;21814;649304.7971;6863970.1012;649310.970985573;6863965.01365276;3;null;8;30;751083006;168;null;RUE;FAUBOURG SAINT HONORE;A;CD102;Vente de meubles de cuisines et salle de bain;1;0;null;1;PCA;6;Champs Elysées-Montaigne
6330;21711;649127.957;6863980.6761;649127.957;6863980.6761;3;null;8;30;751083005;28;null;RUE;ARTOIS;R;CD102;Vente de meubles de cuisines et salle de bain;1;0;null;0;null;0;null
6362;21812;649304.7971;6863970.1012;649304.7971;6863970.1012;3;null;8;30;751083006;168;null;RUE;FAUBOURG SAINT HONORE;R;CE102;Papeterie - Fournitures de bureau;1;0;null;1;PCA;6;Champs Elysées-Montaigne
6375;21890;649250.5242;6863983.0203;649250.5242;6863983.0203;3;null;8;30;751083004;137;null;RUE;FAUBOURG SAINT HONORE;R;CD401;Antiquités;1;0;null;1;PCA;6;Champs Elysées-Montaigne
6373;21882;649169.51;6863985.3027;649169.51;6863985.3027;3;null;8;30;751083004;38;null;RUE;BERRI;R;CG101;Concessionnaire automobiles;1;0;null;0;null;0;null
6389;21940;648995.5938;6863845.5811;648995.5938;6863845.5811;3;null;8;30;751083004;14;null;RUE;BERRI;R;CC202;Parfumerie - Produits de beauté;1;0;null;0;null;0;null
6367;21847;649294.0052;6863847.4408;649290.035185833;6863846.9519365;3;null;8;30;751083004;9;null;RUE;COMMANDANT RIVIERE;R;CB103;Vente et fabrication de tenues de mariées;1;0;null;0;null;0;null
6377;21901;649225.5596;6863868.8667;649225.5596;6863868.8667;3;null;8;30;751083004;11;null;RUE;ARTOIS;A;CE302;Galerie d'art;1;0;null;0;null;0;null
6372;21877;649303.4033;6863905.0889;649300.666129948;6863902.17206951;3;null;8;30;751083004;3;null;RUE;SAINT PHILIPPE DU ROULE;R;CE302;Galerie d'art;1;0;null;0;null;0;null
6320;21663;649017.3208;6863881.0279;649017.3208;6863881.0279;3;null;8;30;751083005;23;null;RUE;BERRI;R;CB202;Chaussures Homme;1;0;null;0;null;0;null
6370;21861;649304.7236;6863862.7509;649304.7236;6863862.7509;3;null;8;30;751083004;10;null;RUE;COMMANDANT RIVIERE;R;CB102;Tailleur sur mesure;1;0;null;0;null;0;null
6329;21692;648877.2652;6863898.0861;648877.2652;6863898.0861;3;null;8;30;751083005;22;null;RUE;WASHINGTON;R;CE402;Téléphonie (Grands opérateurs + revendeurs);1;0;null;0;null;0;null
6319;21661;648980.4461;6863851.3521;648980.4461;6863851.3521;3;null;8;30;751083005;17;null;RUE;BERRI;R;CB301;Joaillerie;1;0;null;0;null;0;null
6314;21607;648874.0876;6863912.3377;648876.933252048;6863915.14879666;3;null;8;30;751083005;21;null;RUE;WASHINGTON;R;CE302;Galerie d'art;1;0;null;0;null;0;null
7042;24416;650011.5423;6864150.9289;650011.5423;6864150.9289;3;null;8;32;751083209;8;null;RUE;ROY;A;CD101;Vente de meubles et multispécialistes;1;0;null;0;null;0;null
7044;24418;650037.6324;6864153.1909;650037.6324;6864153.1909;3;null;8;32;751083209;9;null;PL;SAINT AUGUSTIN;R;CB105;Prêt-à-porter Homme;1;0;null;0;null;0;null
